City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,mili,6.0815,171.735,27.74,79,100,4.38,MH,1722361286
319,yigo village,13.5361,144.8886,27.16,89,0,2.06,GU,1722361287
320,kuanda,56.3161,116.0806,18.79,65,60,1.42,RU,1722361288
321,qamdo,31.1667,97.2333,5.78,67,24,1.81,CN,1722361289
322,labytnangi,66.6572,66.4183,16.82,93,100,2.96,RU,1722361291
323,bratsk,56.1325,101.6142,18.27,72,64,0.58,RU,1722361292
324,priozersk,61.0393,30.1291,15.66,83,99,1.73,RU,1722361294
325,san antonio de pale,-1.4014,5.6325,22.49,78,49,5.94,GQ,1722361295
326,razole,16.4833,81.8333,28.08,83,76,1.79,IN,1722361296
327,jayapura,-2.5333,140.7,23.66,93,48,1.84,ID,1722361297
328,ciudad lazaro cardenas,17.9583,-102.2,26.64,88,100,4.17,MX,1722361298
329,taoudenni,22.6783,-3.9836,46.43,9,25,2.68,ML,1722361299
330,karasburg,-28.0167,18.75,10.48,33,0,4.08,NA,1722361300
331,wurtulla,-26.7568,153.1256,10.03,100,0,0.45,AU,1722361301
332,arsen'yev,44.1631,133.2733,17.12,98,59,0.74,RU,1722361303
333,geraldton,-28.7667,114.6,14.23,94,0,4.12,AU,1722361306
334,umluj,25.0213,37.2685,32.23,58,67,3.3,SA,1722361307
335,mil'kovo,55.6078,37.7956,19.08,65,89,3.51,RU,1722361308
336,ranchi,23.35,85.3333,25.06,94,75,1.03,IN,1722361309
337,shingu,33.7333,135.9833,25.71,86,39,2.49,JP,1722361310
338,pisco,-13.7,-76.2167,18.9,72,75,2.06,PE,1722361206
339,al bawiti,28.3492,28.8659,32.6,19,1,3.76,EG,1722361313
340,bengkulu,-3.8004,102.2655,24.49,93,94,3.23,ID,1722361314
341,lobujya,27.95,86.8167,2.56,81,42,0.76,NP,1722361315
342,guarapari,-20.6667,-40.4975,25.5,70,50,5.73,BR,1722361057
343,rabo de peixe,37.8,-25.5833,24.73,73,20,3.6,PT,1722361317
344,klaksvik,62.2266,-6.589,12.51,82,37,6.96,FO,1722361318
345,hawaiian paradise park,19.5933,-154.9731,22.72,98,100,2.57,US,1722361319
346,gizo,-8.103,156.8419,26.78,78,24,2.22,SB,1722361320
347,al lagowa,11.4,29.1333,24.94,82,100,3.31,SD,1722361321
348,magadan,59.5667,150.8,9.15,84,99,1.48,RU,1722361323
349,wicklow,53.0,-6.4167,17.59,75,99,0.57,IE,1722361324
350,korla,41.7597,86.1469,34.35,21,1,3.21,CN,1722361325
351,sola,-13.8833,167.55,26.01,71,59,7.35,VU,1722361326
352,aleksandrovsk-sakhalinskiy,50.8975,142.1561,12.74,92,2,1.28,RU,1722361327
353,nova vicosa,-17.8919,-39.3719,26.45,65,0,4.22,BR,1722361329
354,veraval,20.9,70.3667,27.78,88,65,6.48,IN,1722361330
355,farah,32.5,62.5,33.3,16,17,2.05,AF,1722361332
356,kenai,60.5544,-151.2583,11.75,91,100,1.54,US,1722361333
357,kilinochchi,9.3961,80.3982,26.95,76,97,2.96,LK,1722361334
358,plettenberg bay,-34.0527,23.3716,8.11,75,14,2.12,ZA,1722361335
359,dihok,36.8695,42.994,32.62,18,0,1.16,IQ,1722361336
360,omutinskiy,56.4745,67.6709,14.61,92,73,2.9,RU,1722361337
361,lata,40.1629,-8.3327,28.6,51,0,2.81,PT,1722361339
362,maralal,1.0968,36.698,14.99,88,100,2.44,KE,1722361340
363,zabaykal'sk,49.6333,117.3167,21.7,66,71,1.49,RU,1722361341
